trans_id,equip_id,hduration,source_id,destination_id,dob,st_time,end_time,source_name,destination_name,usertype,gender,Age
1000,Seeder,48,ST-4,ST-5,1988,3/4/2018 20:23,3/6/2018 20:23,Station4,Station5,Member,Female,32
1001,Tractor,22,ST-1,ST-2,1986,3/9/2018 3:08,3/10/2018 1:08,Station1,Station2,Member,Female,34
1002,Seeder,66,ST-4,ST-2,1987,5/2/2018 7:25,5/5/2018 1:25,Station4,Station2,Member,Female,33
1003,Harvester,86,ST-5,ST-1,1990,3/15/2018 13:04,3/19/2018 3:04,Station5,Station1,Member,Female,30
1004,Seeder,99,ST-1,ST-5,1985,3/9/2018 6:52,3/13/2018 9:52,Station1,Station5,Member,Female,35
1005,Harvester,77,ST-3,ST-1,1989,4/8/2018 11:50,4/11/2018 16:50,Station3,Station1,Member,Female,31
1006,Harvester,65,ST-5,ST-1,1986,3/12/2018 11:10,3/15/2018 4:10,Station5,Station1,Member,Female,34
1007,Tractor,42,ST-3,ST-5,1987,3/12/2018 7:23,3/14/2018 1:23,Station3,Station5,Member,Female,33
1008,Tractor,24,ST-5,ST-1,1987,4/4/2018 2:03,4/5/2018 2:03,Station5,Station1,Member,Female,33
1009,Harvester,106,ST-5,ST-1,1988,5/3/2018 17:06,5/8/2018 3:06,Station5,Station1,Member,Female,32
1010,Seeder,66,ST-5,ST-2,1989,3/22/2018 11:36,3/25/2018 5:36,Station5,Station2,Member,Female,31
1011,Seeder,27,ST-5,ST-2,1986,5/14/2018 18:19,5/15/2018 21:19,Station5,Station2,Member,Female,34
1012,Harvester,71,ST-5,ST-5,1985,5/5/2018 11:05,5/8/2018 10:05,Station5,Station5,Member,Female,35
1013,Seeder,114,ST-5,ST-2,1989,5/21/2018 19:33,5/26/2018 13:33,Station5,Station2,Member,Female,31
1014,Seeder,77,ST-5,ST-3,1989,4/6/2018 8:39,4/9/2018 13:39,Station5,Station3,Member,Female,31
1015,Rotavator,110,ST-5,ST-5,1986,3/26/2018 6:39,3/30/2018 20:39,Station5,Station5,Member,Female,34
1016,Thresher,105,ST-5,ST-1,1990,5/29/2018 21:15,6/3/2018 6:15,Station5,Station1,Member,Female,30
1017,Harvester,34,ST-5,ST-5,1988,4/7/2018 15:42,4/9/2018 1:42,Station5,Station5,Member,Female,32
1018,Tractor,10,ST-5,ST-2,1987,5/11/2018 5:19,5/11/2018 15:19,Station5,Station2,Member,Female,33
1019,Rotavator,99,ST-5,ST-1,1990,4/29/2018 8:35,5/3/2018 11:35,Station5,Station1,Member,Female,30
1020,Seeder,118,ST-5,ST-4,1988,3/10/2018 14:56,3/15/2018 12:56,Station5,Station4,Member,Female,32
1021,Harvester,66,ST-5,ST-4,1990,3/3/2018 1:29,3/5/2018 19:29,Station5,Station4,Member,Female,30
1022,Seeder,74,ST-5,ST-2,1985,3/27/2018 12:33,3/30/2018 14:33,Station5,Station2,Member,Female,35
1023,Thresher,108,ST-5,ST-1,1990,3/27/2018 3:26,3/31/2018 15:26,Station5,Station1,Member,Female,30
1024,Rotavator,37,ST-5,ST-5,1985,5/23/2018 10:55,5/24/2018 23:55,Station5,Station5,Member,Female,35
1025,Rotavator,96,ST-5,ST-2,1990,5/3/2018 21:22,5/7/2018 21:22,Station5,Station2,Member,Female,30
1026,Seeder,18,ST-5,ST-3,1989,3/9/2018 10:58,3/10/2018 4:58,Station5,Station3,Member,Female,31
1027,Thresher,74,ST-5,ST-3,1988,3/16/2018 11:24,3/19/2018 13:24,Station5,Station3,Member,Female,32
1028,Harvester,105,ST-5,ST-5,1987,3/13/2018 0:22,3/17/2018 9:22,Station5,Station5,Member,Female,33
